company_name,official_website,company_profile_sources,financial_validation_sources,industry_research_sources,business_news_sources,product_knowledge_source,source_usage_note
Ola Electric,https://www.olaelectric.com,Official Company Website; LinkedIn Company Page,NSE India; BSE India; Moneycontrol; Screener,SIAM; IBEF; Economic Times Auto; Autocar Professional; Google News,Economic Times Auto; Autocar Professional; Google News,XYZ Product & Solutions Handbook,Use official website for company profile and product footprint; use financial portals for listed-company validation where applicable; use industry sources for sector context; use business news sources for recent trigger events; use XYZ handbook for product-solution mapping.
Ather Energy,https://www.atherenergy.com,Official Company Website; LinkedIn Company Page,NSE India; BSE India; Moneycontrol; Screener,SIAM; IBEF; Economic Times Auto; Autocar Professional; Google News,Economic Times Auto; Autocar Professional; Google News,XYZ Product & Solutions Handbook,Use official website for company profile and product footprint; use financial portals for listed-company validation where applicable; use industry sources for sector context; use business news sources for recent trigger events; use XYZ handbook for product-solution mapping.
Bajaj Auto,https://www.bajajauto.com,Official Company Website; LinkedIn Company Page,NSE India; BSE India; Moneycontrol; Screener,SIAM; IBEF; Economic Times Auto; Autocar Professional; Google News,Economic Times Auto; Autocar Professional; Google News,XYZ Product & Solutions Handbook,Use official website for company profile and product footprint; use financial portals for listed-company validation where applicable; use industry sources for sector context; use business news sources for recent trigger events; use XYZ handbook for product-solution mapping.
Hyundai Motor India,https://www.hyundai.com/in,Official Company Website; LinkedIn Company Page,NSE India; BSE India; Moneycontrol; Screener,SIAM; IBEF; Economic Times Auto; Autocar Professional; Google News,Economic Times Auto; Autocar Professional; Google News,XYZ Product & Solutions Handbook,Use official website for company profile and product footprint; use financial portals for listed-company validation where applicable; use industry sources for sector context; use business news sources for recent trigger events; use XYZ handbook for product-solution mapping.
Hero MotoCorp,https://www.heromotocorp.com,Official Company Website; LinkedIn Company Page,NSE India; BSE India; Moneycontrol; Screener,SIAM; IBEF; Economic Times Auto; Autocar Professional; Google News,Economic Times Auto; Autocar Professional; Google News,XYZ Product & Solutions Handbook,Use official website for company profile and product footprint; use financial portals for listed-company validation where applicable; use industry sources for sector context; use business news sources for recent trigger events; use XYZ handbook for product-solution mapping.
TVS Motor Company,https://www.tvsmotor.com,Official Company Website; LinkedIn Company Page,NSE India; BSE India; Moneycontrol; Screener,SIAM; IBEF; Economic Times Auto; Autocar Professional; Google News,Economic Times Auto; Autocar Professional; Google News,XYZ Product & Solutions Handbook,Use official website for company profile and product footprint; use financial portals for listed-company validation where applicable; use industry sources for sector context; use business news sources for recent trigger events; use XYZ handbook for product-solution mapping.
Tata Motors,https://www.tatamotors.com,Official Company Website; LinkedIn Company Page,NSE India; BSE India; Moneycontrol; Screener,SIAM; IBEF; Economic Times Auto; Autocar Professional; Google News,Economic Times Auto; Autocar Professional; Google News,XYZ Product & Solutions Handbook,Use official website for company profile and product footprint; use financial portals for listed-company validation where applicable; use industry sources for sector context; use business news sources for recent trigger events; use XYZ handbook for product-solution mapping.
Ashok Leyland,https://www.ashokleyland.com,Official Company Website; LinkedIn Company Page,NSE India; BSE India; Moneycontrol; Screener,SIAM; IBEF; Economic Times Auto; Autocar Professional; Google News,Economic Times Auto; Autocar Professional; Google News,XYZ Product & Solutions Handbook,Use official website for company profile and product footprint; use financial portals for listed-company validation where applicable; use industry sources for sector context; use business news sources for recent trigger events; use XYZ handbook for product-solution mapping.
Sona BLW Precision Forgings,https://sonacomstar.com,Official Company Website; LinkedIn Company Page,NSE India; BSE India; Moneycontrol; Screener,ACMA; IBEF; Economic Times Auto; Autocar Professional; Google News,Economic Times Auto; Autocar Professional; Google News,XYZ Product & Solutions Handbook,Use official website for company profile and product footprint; use financial portals for listed-company validation where applicable; use industry sources for sector context; use business news sources for recent trigger events; use XYZ handbook for product-solution mapping.
Amara Raja Energy & Mobility,https://www.amararajaeandm.com,Official Company Website; LinkedIn Company Page,NSE India; BSE India; Moneycontrol; Screener,ACMA; IBEF; Economic Times Auto; Autocar Professional; Google News,Economic Times Auto; Autocar Professional; Google News,XYZ Product & Solutions Handbook,Use official website for company profile and product footprint; use financial portals for listed-company validation where applicable; use industry sources for sector context; use business news sources for recent trigger events; use XYZ handbook for product-solution mapping.
JBM Auto,https://www.jbmgroup.com,Official Company Website; LinkedIn Company Page,NSE India; BSE India; Moneycontrol; Screener,SIAM; IBEF; Economic Times Auto; Autocar Professional; Google News,Economic Times Auto; Autocar Professional; Google News,XYZ Product & Solutions Handbook,Use official website for company profile and product footprint; use financial portals for listed-company validation where applicable; use industry sources for sector context; use business news sources for recent trigger events; use XYZ handbook for product-solution mapping.
Mahindra & Mahindra,https://www.mahindra.com,Official Company Website; LinkedIn Company Page,NSE India; BSE India; Moneycontrol; Screener,SIAM; IBEF; Economic Times Auto; Autocar Professional; Google News,Economic Times Auto; Autocar Professional; Google News,XYZ Product & Solutions Handbook,Use official website for company profile and product footprint; use financial portals for listed-company validation where applicable; use industry sources for sector context; use business news sources for recent trigger events; use XYZ handbook for product-solution mapping.
Minda Corporation,https://www.sparkminda.com,Official Company Website; LinkedIn Company Page,NSE India; BSE India; Moneycontrol; Screener,ACMA; IBEF; Economic Times Auto; Autocar Professional; Google News,Economic Times Auto; Autocar Professional; Google News,XYZ Product & Solutions Handbook,Use official website for company profile and product footprint; use financial portals for listed-company validation where applicable; use industry sources for sector context; use business news sources for recent trigger events; use XYZ handbook for product-solution mapping.
Maruti Suzuki India,https://www.marutisuzuki.com,Official Company Website; LinkedIn Company Page,NSE India; BSE India; Moneycontrol; Screener,SIAM; IBEF; Economic Times Auto; Autocar Professional; Google News,Economic Times Auto; Autocar Professional; Google News,XYZ Product & Solutions Handbook,Use official website for company profile and product footprint; use financial portals for listed-company validation where applicable; use industry sources for sector context; use business news sources for recent trigger events; use XYZ handbook for product-solution mapping.
MRF,https://www.mrftyres.com,Official Company Website; LinkedIn Company Page,NSE India; BSE India; Moneycontrol; Screener,ACMA; IBEF; Economic Times Auto; Autocar Professional; Google News,Economic Times Auto; Autocar Professional; Google News,XYZ Product & Solutions Handbook,Use official website for company profile and product footprint; use financial portals for listed-company validation where applicable; use industry sources for sector context; use business news sources for recent trigger events; use XYZ handbook for product-solution mapping.
